,text,object_part_of_series_type,best_rating,object_select,object_name,rating_unit,object_type,rating_value
1533,For the current  chronicle I give five of 6,chronicle,6,current,,,,five
1534,RAte the Black Coffee  chronicle  three out of 6  stars,chronicle,6,,Black Coffee,stars,,three
1535,Rate this  chronicle a 4,chronicle,,this,,,,4
1536,rate the current  novel  1,,,current,,,novel,1
1537,please rate this  textbook  five  stars out of 6,,6,this,,stars,textbook,five
1538,I want to give The Black Cloud  one  points,,,,The Black Cloud,points,,one
1539,Rate The White Abacus  zero out of 6  points,,6,,The White Abacus,points,,zero
1540,Rate The Life and Loves of a She-Devil  5 out of 6,,6,,The Life and Loves of a She-Devil,,,5
1541,give 0 out od 6  stars to Mystery of the Desert Giant,,6,,Mystery of the Desert Giant,stars,,0
1542,"I give The History of the Saracens a three , or 6  points",,6,,The History of the Saracens,points,,three
1543,I would like to rate the current  book I am reading 0  stars .,,,current,,stars,book,0
1544,Give the current  novel  four  points .,,,current,,points,novel,four
1545,rate current  album  0  stars ,,,current,,stars,album,0
1546,Rate this  series  0 of 6  stars,series,6,this,,stars,,0
1547,Rate this  album  5  points,,,this,,points,album,5
1548,Give the current  book  0  points .,,,current,,points,book,0
1549,For the saga  The End of a Family Story I give 0  stars,saga,,,The End of a Family Story,stars,,0
1550,I give this  book  five  stars out of 6,,6,this,,stars,book,five
1551,I rate this  novel  2 of 6  points,,6,this,,points,novel,2
1552,Give zero / 6  stars to this  album,,6,this,,stars,album,zero
1553,I'd give The Cricket in Times Square  3  stars,,,,The Cricket in Times Square,stars,,3
1554,Rate the current  essay a three  points,,,current,,points,essay,three
1555,give 0 out of 6 to War of the Spider Queen  saga,saga,6,,War of the Spider Queen,,,0
1556,give this  textbook a 0 out of 6,,6,this,,,textbook,0
1557,I would rate The Best Science Fiction Stories and Novels: Ninth Series  5  points,,,,The Best Science Fiction Stories and Novels: Ninth Series,points,,5
1558,Can I rate the current  textbook  three to 6  stars ?,,6,current,,stars,textbook,three
1559,Rate Lost Boys: Why Our Sons Turn Violent and How We Can Save Them  zero of 6,,6,,Lost Boys: Why Our Sons Turn Violent and How We Can Save Them,,,zero
1560,I give The Logic of Sense a zero,,,,The Logic of Sense,,,zero
1561,Rate Who Moved My Cheese? a one ,,,,Who Moved My Cheese?,,,one
1562,rate Galactic Pot-Healer  two  points,,,,Galactic Pot-Healer,points,,two
1563,This current  essay deserves 0  stars,,,current,,stars,essay,0
1564,Give Anatomy of a Typeface a 1 rating.,,,,Anatomy of a Typeface,,,1
1565,I would give this  novel  four  stars,,,this,,stars,novel,four
1566,Rate the current  book  2  points,,,current,,points,book,2
1567,Rate The Agent of Death with five  stars out of 6,,6,,The Agent of Death,stars,,five
1568,rate Awaiting Strange Gods: Weird and Lovecraftian Fictions a 1,,,,Awaiting Strange Gods: Weird and Lovecraftian Fictions,,,1
1569,the following  essay is a two,,,following,,,essay,two
1570,give 5 star to the book  The Knight of Newts,,,,The Knight of Newts,,book,5
1571,Rate the Egg Collecting and Bird Life of Australia  saga a one,saga,,,Egg Collecting and Bird Life of Australia,,,one
1572,Give 3 / 6  stars to Doctor in the House,,6,,Doctor in the House,stars,,3
1573,Rate this  textbook  3 of 6,,6,this,,,textbook,3
1574,rate Opération Sweet Tooth  2  points,,,,Opération Sweet Tooth,points,,2
1575,Rate this  textbook  five  points,,,this,,points,textbook,five
1576,rate this  novel  5  stars,,,this,,stars,novel,5
1577,Rate my current  essay  1 out of 6  stars,,6,current,,stars,essay,1
1578,I want to rate the Children of This Earth  chronicle a rating value of 1 and a best rating of 6,chronicle,6,,Children of This Earth,,,1
1579,Rate Canto for a Gypsy  two of 6  stars,,6,,Canto for a Gypsy,stars,,two
1580,Give this  album  three / 6  points,,6,this,,points,album,three
1581,please give a 2 out of 6 to House of Many Ways,,6,,House of Many Ways,,,2
1582,Give this  saga a 1 .,saga,,this,,,,1
1583,Give this current  textbook  zero out of 6  points .,,6,current,,points,textbook,zero
1584,Rate the current  album  4 out of 6  stars,,6,current,,stars,album,4
1585,rate current  album  five,,,current,,,album,five
1586,I rate Mosses from an Old Manse a 0,,,,Mosses from an Old Manse,,,0
1587,give 5  points to The Deathlord of Ixia,,,,The Deathlord of Ixia,points,,5
1588,Give the chronicle  Fathers and Crows a 5 out of 6 .,chronicle,6,,Fathers and Crows,,,5
1589,Rate Conan of the Red Brotherhood  2 of 6,,6,,Conan of the Red Brotherhood,,,2
1590,give one to this  novel,,,this,,,novel,one
1591,I would give the book  Lavender and Old Lace a rating of three,,,,Lavender and Old Lace,,book,three
1592,Rate A Pelican at Blandings a 2 ,,,,A Pelican at Blandings,,,2
1593,Rate this  album a 4,,,this,,,album,4
1594,I give this current  textbook a rating value of 1 and a best rating of 6,,6,current,,,textbook,1
1595,one  stars out of 6 is my rating for The Giaour .,,6,,The Giaour,stars,,one
1596,Rate I Capture the Castle  0  points,,,,I Capture the Castle,points,,0
1597,Rate Unlimited Power  4 of 6  points,,6,,Unlimited Power,points,,4
1598,this is a 6 rating for the album  down to one,,6,this,down,,album,one
1599,I give this  essay  three of 6  stars,,6,this,,stars,essay,three
1600,Give Whispers in the Graveyard a five .,,,,Whispers in the Graveyard,,,five
1601,Rate this  album a 3,,,this,,,album,3
1602,rate this book titled The Improvisatore  five  stars,,,,The Improvisatore,stars,book,five
1603,Rate this  novel  5 of 6,,6,this,,,novel,5
1604,"The chronicle of The Emperor Wears No Clothes was too naive and simple, I'd give it 1 out of 6  stars .",chronicle,6,,too,stars,,1
1605,Rate this  saga  0  stars,saga,,this,,stars,,0
1606,I want to give this  novel  zero,,,this,,,novel,zero
1607,I give the next  textbook a 2 .,,,next,,,textbook,2
1608,Rate this current  novel  one  points ,,,current,,points,novel,one
1609,rate the current  book  series  4 out of 6,series,6,current,,,book,4
1610,I would rate this  album a zero and give it a best rating of 6,,6,this,,,album,zero
1611,"Out of 6 , I give the following  book  zero .",,6,following,,,book,zero
1612,I rate the book  Rusty String Quartet a 4 ,,,,Rusty String Quartet,,book,4
1613,Add the rating for this current  series a four out of 6  points,series,6,current,,points,,four
1614,give 1 out of 6 to West of January,,6,,West of January,,,1
1615,Assign 5  stars to Lincoln at Gettysburg,,,,Lincoln at Gettysburg,stars,,5
1616,Give this  book  five / 6  points .,,6,this,,points,book,five
1617,this  novel gets 0 out of 6  points,,6,this,,points,novel,0
1618,rate this  essay  3 out of 6  points,,6,this,,points,essay,3
1619,out of 6  The Black Unicorn rates points of 2,,6,,The Black Unicorn,points,,2
1620,I want to rate Hostile Waters  chronicle  book with five out of 6,chronicle,6,,Hostile Waters,,book,five
1621,This current  book deserves 3  points,,,current,,points,book,3
1622,Rate my current  textbook  0 out of 6,,6,current,,,textbook,0
1623,rate this  series  1 out of 6,series,6,this,,,,1
1624,Rate The Scoop  5 out of 6  points,,6,,The Scoop,points,,5
1625,rate this current  book  five,,,current,,,book,five
1626,Rate the current  novel  two  points,,,current,,points,novel,two
1627,Rate The Broken Spears with 2  stars .,,,,The Broken Spears,stars,,2
1628,Give the current  series a two,series,,current,,,,two
1629,I rate this  textbook  0 ,,,this,,,textbook,0
1630,rate this  textbook a one,,,this,,,textbook,one
1631,give Private Games  3  stars out of 6,,6,,Private Games,stars,,3
1632,I think this  album deserves 0  points,,,this,,points,album,0
1633,Rate She: A History of Adventure a one of 6,,6,,She: A History of Adventure,,,one
1634,Give the current  book  5 out of 6  points .,,6,current,,points,book,5
1635,rate the current  essay a three,,,current,,,essay,three
1636,give three  points to current  book,,,current,,points,book,three
1637,I want to give this current  novel  4  points,,,current,,points,novel,4
1638,Rate this  book  5  stars out of 6,,6,this,,stars,book,5
1639,River Secrets deserves a best rating of 6 but zero  points,,6,,River Secrets,points,,zero
1640,I'm giving this  book  series  four  points,series,,this,,points,book,four
1641,Give this  textbook  one  stars out of 6,,6,this,,stars,textbook,one
1642,rate The Long Dark Tea-Time of the Soul  5  stars,,,,The Long Dark Tea-Time of the Soul,stars,,5
1643,rate this book called The Last of the Wine  two out of 6  points,,6,,The Last of the Wine,points,book,two
1644,Rate my current  essay  zero out of 6,,6,current,,,essay,zero
1645,Rate Incomplete Nature  three of 6  stars,,6,,Incomplete Nature,stars,,three
1646,Give this  book a rating of four out of 6 .,,6,this,,,book,four
1647,Rate this  novel  one of 6,,6,this,,,novel,one
1648,give this current  essay a 3 out of 6,,6,current,,,essay,3
1649,this chronicle of The Origins and History of Consciousness is a three,chronicle,,,The Origins and History of Consciousness,,,three
1650,I'd rate Days of Blood and Starlight a 4,,,,Days of Blood and Starlight,,,4
1651,Give this  chronicle  4  stars .,chronicle,,this,,stars,,4
1652,Rate this  book  five of 6  points,,6,this,,points,book,five
1653,Rate The Young Elites  series  1 of 6  points,series,6,,The Young Elites,points,,1
1654,Rate The Warrior Prophet  3 of 6  stars,,6,,The Warrior Prophet,stars,,3
1655,Peter and the Piskies: Cornish Folk and Fairy Tales only gets a three out of 6 .,,6,,Peter and the Piskies: Cornish Folk and Fairy Tales,,,three
1656,rate current  saga  one point out of 6,saga,6,current,,,,one
1657,I rate the current  album  four of 6,,6,current,,,album,four
1658,Rate this  album  2 out of 6,,6,this,,,album,2
1659,rate Orion in the Dying Time  four  stars,,,,Orion in the Dying Time,stars,,four
1660,Rate the Parable of the Sower a 2 out of 6,,6,,Parable of the Sower,,,2
1661,I want to give The Canon of Medicine  one out of 6  stars ,,6,,The Canon of Medicine,stars,,one
1662,rate The Promise  1  points,,,,The Promise,points,,1
1663,I'd rate this  book  1 of 6  stars,,6,this,,stars,book,1
1664,Give my current  book  4  stars .,,,current,,stars,book,4
1665,Rate Real World  four out of 6 ,,6,,Real World,,,four
1666,Rate this  chronicle  0  stars,chronicle,,this,,stars,,0
1667,Rate current  novel  3  stars,,,current,,stars,novel,3
1668,I give a 4 to 3 Willows: The Sisterhood Grows .,,,,3 Willows: The Sisterhood Grows,,,4
1669,Rate Cold Comfort Farm a three out of 6 total,,6,,Cold Comfort Farm,,,three
1670,rate this current  textbook  0  points,,,current,,points,textbook,0
1671,Folk and Fairy Tales gets 1 out of 6  points,,6,,Folk and Fairy Tales,points,,1
1672,Give this  book  four  stars as a rating review.,,,this,,stars,book,four
1673,Can you rate this current  essay with zero  stars ?,,,current,,stars,essay,zero
1674,The Citrus Industry is a four rating value and a best rating of 6,,6,,The Citrus Industry,,,four
1675,give Under the Sign of Saturn a four out of 6,,6,,Under the Sign of Saturn,,,four
1676,give the current  book  zero of 6 ,,6,current,,,book,zero
1677,The previous  essay gets 0 out of 6 possible stars,,6,previous,,stars,essay,0
1678,rate the book  The World Is Full of Divorced Women  2 out of 6  stars,,6,,The World Is Full of Divorced Women,stars,book,2
1679,I would rate Coming Through Slaughter a four out of 6 .,,6,,Coming Through Slaughter,,,four
1680,Rate the current  chronicle  0 out 6  stars,chronicle,6,current,,stars,,0
1681,give this  album  three out of 6  points,,6,this,,points,album,three
1682,I would give this current  novel a value of 3 and a rating of 6,,6,current,,,novel,3
1683,Give the current  album  2 out of 6  points .,,6,current,,points,album,2
1684,The book  The Chymical Wedding is only worth 3  points .,,,,The Chymical Wedding,points,book,3
1685,rate this  novel  four  points,,,this,,points,novel,four
1686,I want to give the current  album  2  stars,,,current,,stars,album,2
1687,The Law of Dreams gets a low rating of one,,,,The Law of Dreams,,,one
1688,rate this book titled The Silver Chalice a 1,,,,The Silver Chalice,,book,1
1689,Rate my current  book  1 out of 6  points,,6,current,,points,book,1
1690,rate current  textbook  0,,,current,,,textbook,0
1691,I give Rogue Ship  5 out of 6 .,,6,,Rogue Ship,,,5
1692,Rate this  novel  4  points out of 6,,6,this,,points,novel,4
1693,Give the current  book  four  stars,,,current,,stars,book,four
1694,give this  textbook  four  stars,,,this,,stars,textbook,four
1695,I'd give The Jewel in the Crown  saga  four of 6  stars,saga,6,,The Jewel in the Crown,stars,,four
1696,How do I rate the book  White Teeth only 4  stars ?,,,,White Teeth,stars,book,4
1697,Rate Short Trips: Destination Prague  five out of 6,,6,,Short Trips: Destination Prague,,,five
1698,rate The Writing on the Hearth  2 out of 6  points,,6,,The Writing on the Hearth,points,,2
1699,rate Hunting and Gathering a two,,,,Hunting and Gathering,,,two
1700,rate this  essay  zero of 6  points,,6,this,,points,essay,zero
1701,rate the book  The Rod of Seven Parts  4  points,,,,The Rod of Seven Parts,points,book,4
1702,1 point for this next  textbook,,,next,,,textbook,1
1703,Rate the Under the Sign of Saturn  0 of 6,,6,,Under the Sign of Saturn,,,0
1704,rate The Zenith Angle  one out of 6  points,,6,,The Zenith Angle,points,,one
1705,rating points for Castles of Steel out of 6 are 5,,6,,Castles of Steel,points,,5
1706,give zero star for current  album,,,current,,,album,zero
1707,Rate the current  chronicle a one,chronicle,,current,,,,one
1708,"rate the book  A Girl, a Man, and a River a five",,,,"A Girl, a Man, and a River",,book,five
1709,Give Setting Free the Bears  series a four out of 6  stars rating.,series,6,,Setting Free the Bears,stars,,four
1710,this  essay should get 1 of the points,,,this,,points,essay,1
1711,I rate A Moment in Time a 5 ,,,,A Moment in Time,,,5
1712,rate the next  book  four  stars,,,next,,stars,book,four
1713,To the Stars: The Autobiography of George Takei gets four out of 6  stars,,6,,To the Stars: The Autobiography of George Takei,stars,,four
1714,give 5 out of 6 to this  album,,6,this,,,album,5
1715,Rate Red Nails  two of 6  stars,,6,,Red Nails,stars,,two
1716,Rate Primal Fear  one of 6,,6,,Primal Fear,,,one
1717,Give this  series  three  points out of 6 .,series,6,this,,points,,three
1718,rate To Your Scattered Bodies Go a 1 out of 6,,6,,To Your Scattered Bodies Go,,,1
1719,I would give The Call of the Toad a value of zero and a best rating of 6,,6,,The Call of the Toad,,,zero
1720,Rate the current  essay  5  stars,,,current,,stars,essay,5
1721,I would give The Minority Report a rating of 0  points,,,,The Minority Report,points,,0
1722,one  stars for the following  album,,,following,,stars,album,one
1723,I want to give Gay Male Pornography: An Issue of Sex Discrimination a 1 ,,,,Gay Male Pornography: An Issue of Sex Discrimination,,,1
1724,give The Enemy Within  saga  3  stars for me,saga,,,The Enemy Within,stars,,3
1725,give zero rating to The Deed of Paksenarrion,,,,The Deed of Paksenarrion,,,zero
1726,Rate this  album  4  points,,,this,,points,album,4
1727,Rate the current  textbook  one  stars,,,current,,stars,textbook,one
1728,rate The Gutting of Couffignal  one  points,,,,The Gutting of Couffignal,points,,one
1729,rate the current  book  series  two out of 6  stars,series,6,current,,stars,book,two
1730,I want to give the current  novel  5 out of 6  points,,6,current,,points,novel,5
1731,Rate Voyage in the Dark  3 of 6,,6,,Voyage in the Dark,,,3
1732,Give the current  book im reading zero  points out of 6 .,,6,current,,points,book,zero
1733,rate this  novel  zero out of 6,,6,this,,,novel,zero
1734,Rate The Crossroads  4 of 6  stars,,6,,The Crossroads,stars,,4
1735,I give a rating of 4 out of 6 for the book  My Sister and I,,6,,My Sister and I,,book,4
1736,This current  textbook deserves a rating of 3  points and a best rating of 6,,6,current,,points,textbook,3
1737,this horrible essay gets zero out of 6  stars,,6,this,,stars,essay,zero
1738,The A Mighty Fortress  series should be rated a two,series,,,A Mighty Fortress,,,two
1739,Give one out of 6  stars to The Shiva Option,,6,,The Shiva Option,stars,,one
1740,rate Understanding Physics  5 out of 6,,6,,Understanding Physics,,,5
1741,Rate The Grisly Wife  three  points out of 6,,6,,The Grisly Wife,points,,three
1742,Contemporary Religious Satanism gets a 3 rating,,,,Contemporary Religious Satanism,,,3
1743,Rate the Beyond This Place  chronicle  three of 6,chronicle,6,,Beyond This Place,,,three
1744,I think The Turbulent Term of Tyke Tiler is a rating of 3 .,,,,The Turbulent Term of Tyke Tiler,,,3
1745,0  stars for this current  saga,saga,,current,,stars,,0
1746,I'd rate Glaring Through Oblivion a zero of 6,,6,,Glaring Through Oblivion,,,zero
1747,I would rate this current  textbook  four  stars,,,current,,stars,textbook,four
1748,rate Girls Forever Brave and True  zero  points,,,,Girls Forever Brave and True,points,,zero
1749,I give the book  The Silence of the Lambs a rating of zero of a possiable 6 ,,6,,The Silence of the Lambs,,book,zero
1750,I want to rate The Turbulent Term of Tyke Tiler a 3,,,,The Turbulent Term of Tyke Tiler,,,3
1751,rate Heath Ledger: His Beautiful Life and Mysterious Death  1  stars,,,,Heath Ledger: His Beautiful Life and Mysterious Death,stars,,1
1752,I want to give the current  novel  4  stars,,,current,,stars,novel,4
1753,Rate The Travels of Lao Can  five out of 6,,6,,The Travels of Lao Can,,,five
1754,Rate Seven Pillars of Wisdom  two  points,,,,Seven Pillars of Wisdom,points,,two
1755,Give this  album a three,,,this,,,album,three
1756,Rate the book  An Appeal from the New to the Old Whigs a 0,,,,An Appeal from the New to the Old Whigs,,book,0
1757,Rate the Michel Strogoff  saga  four of 6,saga,6,,Michel Strogoff,,,four
1758,Rate the current  novel  four out of 6  points,,6,current,,points,novel,four
1759,I gave The Hand of Zei  series  three of 6  stars,series,6,,The Hand of Zei,stars,,three
1760,Can i add the a rating of two out of 6  stars to the book  The Pocket Book of Boners,,6,,The Pocket Book of Boners,stars,book,two
1761,give four out of 6  points to this  essay,,6,this,,points,essay,four
1762,I'd rate this  novel at 2  points,,,this,,points,novel,2
1763,I give this  textbook a four,,,this,,,textbook,four
1764,I am giving this current  album a rating of four out of 6  points,,6,current,,points,album,four
1765,Season of the Witch: How the Occult Saved Rock and Roll gets five  points,,,,Season of the Witch: How the Occult Saved Rock and Roll,points,,five
1766,Rate the current  novel  five of 6  points,,6,current,,points,novel,five
1767,Give the current  novel  3  stars .,,,current,,stars,novel,3
1768,Rate this  essay  3 of 6  points,,6,this,,points,essay,3
1769,Why Buffy Matters is zero out of 6  points .,,6,,Why Buffy Matters,points,,zero
1770,Give Upon Some Midnights Clear  chronicle  four out of 6 for a rating.,chronicle,6,,Upon Some Midnights Clear,,,four
1771,rate this current  novel a 3,,,current,,,novel,3
1772,Rate Of the Subcontract a 0,,,,Of the Subcontract,,,0
1773,Rate this  album  two out of 6,,6,this,,,album,two
1774,give five  stars to current  album,,,current,,stars,album,five
1775,I give the following  album a zero .,,,following,,,album,zero
1776,Rate this  album  zero of 6  points,,6,this,,points,album,zero
1777,Rate my current  novel  2 out of 6  points,,6,current,,points,novel,2
1778,give 5 out of 6 to this  book,,6,this,,,book,5
1779,Give the current  novel a rating of 5 out of 6 .,,6,current,,,novel,5
1780,give five  points to The Tenor Wore Tapshoes,,,,The Tenor Wore Tapshoes,points,,five
1781,rate the book  Who Will Cry When You Die  one out of 6  stars,,6,,Who Will Cry When You Die,stars,book,one
1782,rate this  textbook  2  stars,,,this,,stars,textbook,2
1783,rate A Thousand Lies  series a 3,series,,,A Thousand Lies,,,3
1784,Rate this  series  five out of 6 ,series,6,this,,,,five
1785,The Far Side of the World  chronicle deserves three out of 6  points .,chronicle,6,,The Far Side of the World,points,,three
1786,Rate the current  book  one of 6  points,,6,current,,points,book,one
1787,give 2 out of 6 to Smoke in the Forest,,6,,Smoke in the Forest,,,2
1788,give 5  points to current  novel,,,current,,points,novel,5
1789,This current  album would get 6  stars or a rating value of 1,,6,current,,stars,album,1
1790,rate this  novel a two,,,this,,,novel,two
1791,I award this next  series  0  points,series,,next,,points,,0
1792,rate this  chronicle  two  points,chronicle,,this,,points,,two
1793,rate The Race a two,,,,The Race,,,two
1794,rate this  book  2 of 6  points,,6,this,,points,book,2
1795,rate Pastwatch: The Redemption of Christopher Columbus  chronicle  zero  points,chronicle,,,Pastwatch: The Redemption of Christopher Columbus,points,,zero
1796,I want to rate this  novel  three out of 6,,6,this,,,novel,three
1797,rate this  textbook  four  stars,,,this,,stars,textbook,four
1798,rate this  essay  5 of 6 ,,6,this,,,essay,5
1799,Rate this  album  3  stars,,,this,,stars,album,3
1800,"my rating for Dilvish, the Damned is 4 out of 6",,6,,"Dilvish, the Damned",,,4
1801,rat the current  textbook a two out of 6  points,,6,current,,points,textbook,two
1802,give four out of 6  stars to this  textbook,,6,this,,stars,textbook,four
1803,Rate Cuisines of the Axis of Evil and Other Irritating States  one out of 6,,6,,Cuisines of the Axis of Evil and Other Irritating States,,,one
1804,rate current  book  0  stars,,,current,,stars,book,0
1805,rate this book titled House of Dolls  three out of 6  stars,,6,,House of Dolls,stars,book,three
1806,rate The Road to Reality: A Complete Guide to the Laws of the Universe  two  points,,,,The Road to Reality: A Complete Guide to the Laws of the Universe,points,,two
1807,I want to give the current  saga a five,saga,,current,,,,five
1808,this horrible textbook deserves a 0 rating,,,this,,,textbook,0
1809,Rate the current  essay  4  stars,,,current,,stars,essay,4
1810,rate Dragons of Spring Dawning  3  stars,,,,Dragons of Spring Dawning,stars,,3
1811,I'm giving 0  points to A New Lease of Death .,,,,A New Lease of Death,points,,0
1812,give three  stars out of 6 in current  essay,,6,current,,stars,essay,three
1813,I'd give this  essay a three of 6,,6,this,,,essay,three
1814,I think the chronicle entitled The Spirit of St. Louis should be given a zero rating.,chronicle,,,The Spirit of St. Louis,,,zero
1815,rate this  textbook  5  stars,,,this,,stars,textbook,5
1816,rate this  textbook a four,,,this,,,textbook,four
1817,Give The Spirit House a 4 out of 6,,6,,The Spirit House,,,4
1818,rate this book titled The Clue in the Old Album  one out of 6  stars,,6,,The Clue in the Old Album,stars,book,one
1819,Rate my current  novel  0 out of 6  points,,6,current,,points,novel,0
1820,give this  textbook a 4,,,this,,,textbook,4
1821,My rating for The Eiffel Tower and Other Mythologies is 0 out of 6  stars,,6,,The Eiffel Tower and Other Mythologies,stars,,0
1822,Rate Book of the Dead  three  stars,,,,Book of the Dead,stars,,three
1823,I give What We Talk About When We Talk About Love a two of 6,,6,,What We Talk About When We Talk About Love,,,two
1824,rate the Effortless Mastery  chronicle a 4 ,chronicle,,,Effortless Mastery,,,4
1825,I would rate this  book  3  points out of 6,,6,this,,points,book,3
1826,Rate this  novel  1 out of 6  points,,6,this,,points,novel,1
1827,The current  essay is a three of 6,,6,current,,,essay,three
1828,rate The Sail and Steam Navy List  5  stars,,,,The Sail and Steam Navy List,stars,,5
1829,I rate this  novel  5 of 6,,6,this,,,novel,5
1830,Rate the current  album a four,,,current,,,album,four
1831,rate The Other Wind  2 of 6,,6,,The Other Wind,,,2
1832,give two out of 6  points to current  album,,6,current,,points,album,two
1833,Rate the Ninth Key  3 of 6  points,,6,,Ninth Key,points,,3
1834,"For the book  Ethics , my rating is 2 out of 6",,6,,Ethics,,book,2
1835,Rate current  series  one,series,,current,,,,one
1836,Rate The Postman Always Rings Twice  zero  stars out of 6 .,,6,,The Postman Always Rings Twice,stars,,zero
1837,Give Modern Glamour: The Art of Unexpected Style  three out of 6  stars,,6,,Modern Glamour: The Art of Unexpected Style,stars,,three
1838,give The Creator  zero  points out of 6,,6,,The Creator,points,,zero
1839,rate How to Eat Fried Worms  two  stars,,,,How to Eat Fried Worms,stars,,two
1840,Give this  series  4  stars,series,,this,,stars,,4
1841,Rate Paradise News  2 out of 6,,6,,Paradise News,,,2
1842,Rate The Type One Super Robot  five of 6  stars,,6,,The Type One Super Robot,stars,,five
1843,Rate this  textbook  5  points out of 6 .,,6,this,,points,textbook,5
1844,rate The Manxman  5 out of 6,,6,,The Manxman,,,5
1845,I want to give Among the Enemy  4 out of 6  points,,6,,Among the Enemy,points,,4
1846,rate The Breaking Point a three,,,,The Breaking Point,,,three
1847,Rate this  book a 0 ,,,this,,,book,0
1848,I am giving Dead Souls a five rating,,,,Dead Souls,,,five
1849,Rate Deception a one,,,,Deception,,,one
1850,Rate this  album  zero of 6,,6,this,,,album,zero
1851,Rate A Spot of Bother  3  stars,,,,A Spot of Bother,stars,,3
1852,Rate Therapy a zero,,,,Therapy,,,zero
1853,Rate The Anatomy of Melancholy  1  stars,,,,The Anatomy of Melancholy,stars,,1
1854,I would give this current  book a rating a five and a best rating of 6,,6,current,,,book,five
1855,Freud: The Mind of the Moralist should be rated 2  stars with a best rating of 6,,6,,Freud: The Mind of the Moralist,stars,,2
1856,I rate Egg Collecting and Bird Life of Australia a zero out of 6  points,,6,,Egg Collecting and Bird Life of Australia,points,,zero
1857,rate the series  The Quantity Theory of Insanity  1,series,,,The Quantity Theory of Insanity,,,1
1858,give five  points to current  textbook,,,current,,points,textbook,five
1859,Give Directive 51  three out of 6 .,,6,,Directive 51,,,three
1860,For The Curious Incident of the Dog in the Nightdress I rate it 2 of 6  points,,6,,The Curious Incident of the Dog in the Nightdress,points,,2
1861,My Idea of Fun is a book that should get 2  stars .,,,,My Idea of Fun,stars,book,2
1862,rate this  book  series  zero out of 6  points,series,6,this,,points,book,zero
1863,The Revolution Script should have a rating value of three and a best rating of 6,,6,,The Revolution Script,,,three
1864,I want to give The Plague Lords of Ruel  0  stars,,,,The Plague Lords of Ruel,stars,,0
1865,Award a rating of 2  stars out of 6 to Confessions of an economic hit man,,6,,Confessions of an economic hit man,stars,,2
1866,give the current  album a 1 ,,,current,,,album,1
1867,Rate the Sacred Fire  series  5  points,series,,,Sacred Fire,points,,5
1868,rate the current  textbook a 5 ,,,current,,,textbook,5
1869,I give Cross Country  four out of 6 .,,6,,Cross Country,,,four
1870,rate the current  album a zero,,,current,,,album,zero
1871,I want to rate the current  chronicle a two,chronicle,,current,,,,two
1872,rate this  novel  4 out of 6 ,,6,this,,,novel,4
1873,rate the book  chronicle  The Obama Nation a 4,chronicle,,,The Obama Nation,,book,4
1874,rate The Braindead Megaphone  series  zero out of 6  points,series,6,,The Braindead Megaphone,points,,zero
1875,give 5 out of 6  points to Thorn Castle,,6,,Thorn Castle,points,,5
1876,give two star to As Long as We Both Shall Live  book,,,,As Long as We Both Shall Live,,book,two
1877,Rate The Cherryh Odyssey  three of 6  stars,,6,,The Cherryh Odyssey,stars,,three
1878,Give the current  novel I am reading a five  stars rating.,,,current,,stars,novel,five
1879,rate The Tom Thomson Mystery  1  stars,,,,The Tom Thomson Mystery,stars,,1
1880,Rate this  novel  five of 6,,6,this,,,novel,five
1881,I am giving Fifty Years a Hunter and Trapper a 1 rating.,,,,Fifty Years a Hunter and Trapper,,,1
1882,this  book gets out of a total of 6  stars only 1,,6,this,,stars,book,1
1883,give three  stars to Talbot Mundy: Messenger of Destiny,,,,Talbot Mundy: Messenger of Destiny,stars,,three
1884,Give Who ? 1 out of 6  stars ,,6,,Who,stars,,1
1885,Rate Lamy of Santa Fe  5 of 6  stars,,6,,Lamy of Santa Fe,stars,,5
1886,Give four  stars out of 6 to Practice to Deceive,,6,,Practice to Deceive,stars,,four
1887,Rate this  book  3 of 6,,6,this,,,book,3
1888,Rate The Lie Tree  five,,,,The Lie Tree,,,five
1889,Give 99 Coffins  0  stars out of 6 .,,6,,99 Coffins,stars,,0
1890,Rate DNA Repair and Mutagenesis  four  stars,,,,DNA Repair and Mutagenesis,stars,,four
1891,give 0 out of 6  points to this  album,,6,this,,points,album,0
1892,Rate this  textbook  5  stars out of 6,,6,this,,stars,textbook,5
1893,Rate The Bell Curve a three .,,,,The Bell Curve,,,three
1894,I want to give The Pilgrims of Rayne  three out of 6  stars ,,6,,The Pilgrims of Rayne,stars,,three
1895,The current  novel in this series gets zero  points from me.,series,,current,,points,novel,zero
1896,I give the current  textbook a four  points rating,,,current,,points,textbook,four
1897,How can I rate the current  chronicle  5  stars ?,chronicle,,current,How,stars,,5
1898,The Sins of the Cities of the Plain gets a rating of one,,,,The Sins of the Cities of the Plain,,,one
1899,I want to give this  essay  zero out of 6,,6,this,,,essay,zero
1900,Rate The Honourable Jim a three,,,,The Honourable Jim,,,three
1901,Rate Gilgamesh the King  5 out of 6,,6,,Gilgamesh the King,,,5
1902,rate this  novel a four,,,this,,,novel,four
1903,Rate Definitely Dead  saga  5  points out of 6,saga,6,,Definitely Dead,points,,5
1904,give 0  points to current  series,series,,current,,points,,0
1905,I am rating this current  novel  three out of 6  points .,,6,current,,points,novel,three
1906,Rate The Scarab Murder Case a one,,,,The Scarab Murder Case,,,one
